id,influencer_id,title,platform,url,thumbnail,published,year_start,year_end,era,places,tags,verified,notes
v138,toldinstone,The Roman Gold Mine that Ate Mountains,youtube,https://www.youtube.com/watch?v=DosxcZTjFwE,https://i.ytimg.com/vi/DosxcZTjFwE/hqdefault.jpg,2026-07-10,25,250,Roman Empire,las-medulas,rome;mining;engineering,yes,Place read from the title (Las Medulas); editorial
v139,history-hit,Alice Roberts On The Origins of Christianity,youtube,https://www.youtube.com/watch?v=56Ye4YHdNfs,https://i.ytimg.com/vi/56Ye4YHdNfs/hqdefault.jpg,2026-08-06,30,400,Early Christianity,jerusalem;rome,religion;late-antiquity;origins,yes,
v140,kings-and-generals,"Disease, Plagues, and 28-Year Lifespans in Roman Britain",reel,https://www.youtube.com/watch?v=4N9fQRo_DiQ,https://i.ytimg.com/vi/4N9fQRo_DiQ/hqdefault.jpg,2026-08-28,43,410,Roman Britain,londinium,rome;disease;demography,yes,
v141,kings-and-generals,"Why Did Rome Station 30,000 Troops on One Island",reel,https://www.youtube.com/watch?v=CypSEQLEBnU,https://i.ytimg.com/vi/CypSEQLEBnU/hqdefault.jpg,2026-08-21,43,410,Roman Britain,londinium,rome;military;britain,yes,
v142,time-team-classics,"Mysteries of the Mosaic (Full Episode) | S15 EP5 | Time Team (Coberley, Gloucestershire)",youtube,https://www.youtube.com/watch?v=W3ApuTvL-BQ,https://i.ytimg.com/vi/W3ApuTvL-BQ/hqdefault.jpg,2026-08-23,43,410,Roman Britain,coberley,rome;villa;mosaic,yes,
v143,time-team-classics,"Fighting on the Frontier (Full Episode) | S12 EP4 | Time Team (Drumlanrig, Dumfries and Galloway)",youtube,https://www.youtube.com/watch?v=cIrYmTsSjeA,https://i.ytimg.com/vi/cIrYmTsSjeA/hqdefault.jpg,2026-08-20,43,410,Roman Britain,drumlanrig,rome;frontier;scotland,yes,
v144,le-bizarreum,Portrait d'outre-tombe. #funeraire #archéologie #archaeology #empireromain #histoire,reel,https://www.youtube.com/watch?v=hTv6Lvnt8nY,https://i.ytimg.com/vi/hTv6Lvnt8nY/hqdefault.jpg,2024-11-07,50,250,Roman Egypt,fayum,rome;funerary;portraiture,yes,
v145,einfach-antike,Das Kölner Lararium – Fundstück Antike – Einfach Antike,youtube,https://www.youtube.com/watch?v=9rDariXDHqE,https://i.ytimg.com/vi/9rDariXDHqE/hqdefault.jpg,2026-04-19,50,400,Roman Germania,cologne,rome;religion;material-culture,yes,
v146,damilee,Why Rome Built the Colosseum (It Wasn't For Fun),reel,https://www.youtube.com/watch?v=A79bj6NwKWA,https://i.ytimg.com/vi/A79bj6NwKWA/hqdefault.jpg,2026-07-17,72,80,Flavian Rome,rome,rome;colosseum;architecture;politics,yes,
v147,damilee,The Genius of the Colosseum's Shape,reel,https://www.youtube.com/watch?v=2vArRx8M2Io,https://i.ytimg.com/vi/2vArRx8M2Io/hqdefault.jpg,2026-08-01,72,80,Flavian Rome,rome,rome;colosseum;architecture;engineering,yes,
v148,damilee,You Didn't Find the Colosseum. It Found You.,reel,https://www.youtube.com/watch?v=vi3FqYJahDc,https://i.ytimg.com/vi/vi3FqYJahDc/hqdefault.jpg,2026-07-21,72,80,Flavian Rome,rome,rome;colosseum;urbanism;architecture,yes,
v149,damilee,The Colosseum Wasn't Built for Entertainment,youtube,https://www.youtube.com/watch?v=UJj58txYaTU,https://i.ytimg.com/vi/UJj58txYaTU/hqdefault.jpg,2025-12-19,72,80,Flavian Rome,rome,rome;colosseum;architecture;politics,yes,
v150,toldinstone,Why Wasn't Pompeii Rebuilt After the Eruption?,youtube,https://www.youtube.com/watch?v=6xu4ki6yTJQ,https://i.ytimg.com/vi/6xu4ki6yTJQ/hqdefault.jpg,2026-07-24,79,200,Roman Empire,pompeii;herculaneum,rome;vesuvius;urbanism,yes,
