influencer_id,video_id,title,published,url,thumbnail
prehistory-guys,3MPhrEaty4o,PODCAST: Ritual - What if We've Got it Wrong? #218,2026-08-20,https://www.youtube.com/watch?v=3MPhrEaty4o,https://i.ytimg.com/vi/3MPhrEaty4o/hqdefault.jpg
prehistory-guys,xTzCXmHhjHg,RECORDING ~ PREHISTORIC ARCHAEOLOGY NEWS From Around the World | 27/08/2026 02:00PM BST,2026-08-27,https://www.youtube.com/watch?v=xTzCXmHhjHg,https://i.ytimg.com/vi/xTzCXmHhjHg/hqdefault.jpg
premodernist,BRnwg3dpboc,What wheelbarrows can teach us about world history,2024-04-08,https://www.youtube.com/watch?v=BRnwg3dpboc,https://i.ytimg.com/vi/BRnwg3dpboc/hqdefault.jpg
premodernist,G0uszrayst4,How academics can talk to pseudoarchaeology fans,2024-05-07,https://www.youtube.com/watch?v=G0uszrayst4,https://i.ytimg.com/vi/G0uszrayst4/hqdefault.jpg
premodernist,c-IgG7iou94,In defense of the state flags,2024-09-17,https://www.youtube.com/watch?v=c-IgG7iou94,https://i.ytimg.com/vi/c-IgG7iou94/hqdefault.jpg
premodernist,x3MoJTCWUHg,The last Genghis Khan Day video,2024-11-02,https://www.youtube.com/watch?v=x3MoJTCWUHg,https://i.ytimg.com/vi/x3MoJTCWUHg/hqdefault.jpg
rai-cultura,vtp1EUokz9U,"Eduardo De Filippo : "" Sik sik l'artefice magico "" - rarissima registrazione sonora",2009-10-07,https://www.youtube.com/watch?v=vtp1EUokz9U,https://i.ytimg.com/vi/vtp1EUokz9U/hqdefault.jpg
rai-cultura,y6pdnVaGJjk,"Dietro l'alibi della follia - da ""Cronaca""",2010-02-23,https://www.youtube.com/watch?v=y6pdnVaGJjk,https://i.ytimg.com/vi/y6pdnVaGJjk/hqdefault.jpg
rai-cultura,8h5LWPVKlOY,"Il fantasma del manicomio (Arezzo 1981)  - da ""Cronaca""",2010-02-24,https://www.youtube.com/watch?v=8h5LWPVKlOY,https://i.ytimg.com/vi/8h5LWPVKlOY/hqdefault.jpg
rai-cultura,Rq20oOpjFuM,"John Kenneth Galbraith, La grande crisi",2010-02-24,https://www.youtube.com/watch?v=Rq20oOpjFuM,https://i.ytimg.com/vi/Rq20oOpjFuM/hqdefault.jpg
rai-cultura,TApLgZXNXE4,"Sergio Zavoli, Clausura - da ""Diario di un cronista""",2010-02-24,https://www.youtube.com/watch?v=TApLgZXNXE4,https://i.ytimg.com/vi/TApLgZXNXE4/hqdefault.jpg
reading-the-past,DPadoQ3kjbk,📣SNEAKY PEEK OF THE NEW VIDEO📣 #short,2026-08-07,https://www.youtube.com/watch?v=DPadoQ3kjbk,https://i.ytimg.com/vi/DPadoQ3kjbk/hqdefault.jpg
reading-the-past,7kHb0jFYdP4,📣SNEAKY PEEK OF THE NEW VIDEO📣 #short,2026-08-14,https://www.youtube.com/watch?v=7kHb0jFYdP4,https://i.ytimg.com/vi/7kHb0jFYdP4/hqdefault.jpg
reading-the-past,-HUUnwNM45E,Horrible Histories - Ramses II,2026-08-18,https://www.youtube.com/watch?v=-HUUnwNM45E,https://i.ytimg.com/vi/-HUUnwNM45E/hqdefault.jpg
reading-the-past,7tx2WH7bIhM,📣SNEAKY PEEK OF THE NEW VIDEO📣 #short,2026-08-21,https://www.youtube.com/watch?v=7tx2WH7bIhM,https://i.ytimg.com/vi/7tx2WH7bIhM/hqdefault.jpg
reading-the-past,dR5fDHcCNok,📣SNEAKY PEEK OF THE NEW VIDEO📣 #short,2026-08-28,https://www.youtube.com/watch?v=dR5fDHcCNok,https://i.ytimg.com/vi/dR5fDHcCNok/hqdefault.jpg
reading-the-past,HODXWXuvg6g,History News from August 2026,2026-08-31,https://www.youtube.com/watch?v=HODXWXuvg6g,https://i.ytimg.com/vi/HODXWXuvg6g/hqdefault.jpg
